,de_hyd_state,cycle_number,time_start,time_end,cycle_duration
201,Hydrogenated,100.5,2022-06-20 04:45:38.997000+02:00,2022-06-20 13:45:53.368000+02:00,9:00:14.371000
202,Dehydrogenated,101.0,2022-06-20 14:00:53.353000+02:00,2022-06-20 18:00:53.400000+02:00,4:00:00.047000
203,Hydrogenated,101.5,2022-06-20 18:15:53.407000+02:00,2022-06-20 22:30:53.498000+02:00,4:15:00.091000
204,Dehydrogenated,102.0,2022-06-20 22:45:53.510000+02:00,2022-06-21 02:45:53.554000+02:00,4:00:00.044000
205,Hydrogenated,102.5,2022-06-21 03:00:53.554000+02:00,2022-06-21 07:00:38.670000+02:00,3:59:45.116000
206,Dehydrogenated,103.0,2022-06-21 07:15:38.663000+02:00,2022-06-21 11:27:27.730000+02:00,4:11:49.067000
207,Hydrogenated,103.5,2022-06-21 11:42:27.720000+02:00,2022-06-21 15:42:27.803000+02:00,4:00:00.083000
208,Dehydrogenated,104.0,2022-06-21 15:57:27.826000+02:00,2022-06-21 19:57:27.873000+02:00,4:00:00.047000
209,Hydrogenated,104.5,2022-06-21 20:12:27.873000+02:00,2022-06-22 00:27:27.976000+02:00,4:15:00.103000
210,Dehydrogenated,105.0,2022-06-22 00:42:27.970000+02:00,2022-06-22 04:42:28.450000+02:00,4:00:00.480000
211,Hydrogenated,105.5,2022-06-22 04:57:28.340000+02:00,2022-06-22 09:00:38.111000+02:00,4:03:09.771000
212,Dehydrogenated,106.0,2022-06-22 09:15:38.132000+02:00,2022-06-22 13:30:38.189000+02:00,4:15:00.057000
213,Hydrogenated,106.5,2022-06-22 13:45:38.187000+02:00,2022-06-22 17:45:38.264000+02:00,4:00:00.077000
214,Dehydrogenated,107.0,2022-06-22 18:00:38.271000+02:00,2022-06-22 22:00:38.368000+02:00,4:00:00.097000
215,Hydrogenated,107.5,2022-06-22 22:15:38.366000+02:00,2022-06-23 02:30:38.398000+02:00,4:15:00.032000
216,Dehydrogenated,108.0,2022-06-23 02:45:38.420000+02:00,2022-06-23 06:45:38.506000+02:00,4:00:00.086000
